game,date,head_coach,opponent,season,season_num,score,opp_score,site,ot,diff,result,streak,post_season,special
811,1/9/2005,Muffet McGraw,Villanova,2004-2005,28,54,59,a,n,-5,l,1,n,
812,1/12/2005,Muffet McGraw,Connecticut,2004-2005,28,50,67,h,n,-17,l,2,n,
813,1/16/2005,Muffet McGraw,Purdue,2004-2005,28,86,69,h,n,17,w,1,n,
814,1/19/2005,Muffet McGraw,Syracuse,2004-2005,28,74,61,a,n,13,w,2,n,
815,1/23/2005,Muffet McGraw,Rutgers,2004-2005,28,63,47,h,n,16,w,3,n,
816,1/26/2005,Muffet McGraw,St. John's,2004-2005,28,72,65,h,n,7,w,4,n,
817,1/30/2005,Muffet McGraw,Connecticut,2004-2005,28,62,59,a,n,3,w,5,n,
818,2/2/2005,Muffet McGraw,Boston College,2004-2005,28,64,57,h,n,7,w,6,n,
819,2/5/2005,Muffet McGraw,Pittsburgh,2004-2005,28,75,47,a,n,28,w,7,n,
820,2/9/2005,Muffet McGraw,Providence,2004-2005,28,75,57,a,n,18,w,8,n,
821,2/12/2005,Muffet McGraw,Georgetown,2004-2005,28,72,58,h,n,14,w,9,n,
822,2/15/2005,Muffet McGraw,Boston College,2004-2005,28,54,47,a,n,7,w,10,n,
823,2/19/2005,Muffet McGraw,Rutgers,2004-2005,28,48,59,a,n,-11,l,1,n,
824,2/26/2005,Muffet McGraw,West Virginia,2004-2005,28,82,57,h,n,25,w,1,n,
825,3/1/2005,Muffet McGraw,Seton Hall,2004-2005,28,41,35,a,n,6,w,2,n,
826,3/6/2005,Muffet McGraw,West Virginia,2004-2005,28,70,59,n,n,11,w,3,y,Big East Quarterfinals
827,3/7/2005,Muffet McGraw,Connecticut,2004-2005,28,54,67,n,n,-13,l,1,y,Big East Semifinals
828,3/19/2005,Muffet McGraw,UC Santa Barbara,2004-2005,28,61,51,n,n,10,w,1,y,NCAA 1st Round
829,3/21/2005,Muffet McGraw,Arizona State,2004-2005,28,61,70,n,n,-9,l,1,y,NCAA 2nd Round
830,11/18/2005,Muffet McGraw,Michigan,2005-2006,29,55,45,h,n,10,w,1,n,
831,11/20/2005,Muffet McGraw,Western Michigan,2005-2006,29,71,68,a,n,3,w,2,n,
832,11/23/2005,Muffet McGraw,Indiana,2005-2006,29,74,61,a,n,13,w,3,n,
833,11/27/2005,Muffet McGraw,USC,2005-2006,29,73,62,h,n,11,w,4,n,
834,11/29/2005,Muffet McGraw,Iona,2005-2006,29,74,55,h,n,19,w,5,n,
835,12/4/2005,Muffet McGraw,Wisconsin,2005-2006,29,77,72,a,n,5,w,6,n,
836,12/7/2005,Muffet McGraw,Purdue,2005-2006,29,54,65,a,n,-11,l,1,n,
837,12/17/2005,Muffet McGraw,Arkansas State,2005-2006,29,77,54,n,n,23,w,1,n,Duel in the Desert
838,12/18/2005,Muffet McGraw,Utah,2005-2006,29,68,55,n,n,13,w,2,n,Duel in the Desert
839,12/28/2005,Muffet McGraw,Valparaiso,2005-2006,29,58,50,h,n,8,w,3,n,
840,12/31/2005,Muffet McGraw,Tennessee,2005-2006,29,51,62,h,n,-11,l,1,n,
841,1/4/2006,Muffet McGraw,St. John's,2005-2006,29,63,66,a,n,-3,l,2,n,
842,1/7/2006,Muffet McGraw,Seton Hall,2005-2006,29,61,74,h,n,-13,l,3,n,
843,1/10/2006,Muffet McGraw,Marquette,2005-2006,29,67,65,h,y,2,w,1,n,
844,1/14/2006,Muffet McGraw,Louisville,2005-2006,29,51,61,a,n,-10,l,1,n,
845,1/17/2006,Muffet McGraw,DePaul,2005-2006,29,78,75,h,n,3,w,1,n,
846,1/21/2006,Muffet McGraw,Georgetown,2005-2006,29,54,52,a,n,2,w,2,n,
847,1/24/2006,Muffet McGraw,Rutgers,2005-2006,29,43,69,a,n,-26,l,1,n,
848,1/28/2006,Muffet McGraw,South Florida,2005-2006,29,64,68,h,y,-4,l,2,n,
849,1/31/2006,Muffet McGraw,Syracuse,2005-2006,29,67,55,a,n,12,w,1,n,
850,2/4/2006,Muffet McGraw,Providence,2005-2006,29,66,48,h,n,18,w,2,n,
851,2/7/2006,Muffet McGraw,Villanova,2005-2006,29,65,69,h,y,-4,l,1,n,
852,2/12/2006,Muffet McGraw,DePaul,2005-2006,29,50,79,a,n,-29,l,2,n,
853,2/19/2006,Muffet McGraw,Connecticut,2005-2006,29,64,79,h,n,-15,l,3,n,
854,2/22/2006,Muffet McGraw,West Virginia,2005-2006,29,79,58,a,n,21,w,1,n,
855,2/25/2006,Muffet McGraw,Cincinnati,2005-2006,29,75,66,a,n,9,w,2,n,
856,2/28/2006,Muffet McGraw,Pittsburgh,2005-2006,29,72,65,h,n,7,w,3,n,
857,3/4/2006,Muffet McGraw,South Florida,2005-2006,29,73,66,n,n,7,w,4,y,Big East 1st Round
858,3/5/2006,Muffet McGraw,Connecticut,2005-2006,29,60,71,n,n,-11,l,1,y,Big East 2nd Round
859,3/19/2006,Muffet McGraw,Boston College,2005-2006,29,61,78,n,n,-17,l,2,y,NCAA 1st Round
860,11/10/2006,Muffet McGraw,Central Michigan,2006-2007,30,88,66,h,n,22,w,1,n,
861,11/13/2006,Muffet McGraw,Bowling Green,2006-2007,30,85,81,h,y,4,w,2,n,
862,11/16/2006,Muffet McGraw,Penn State,2006-2007,30,49,75,a,n,-26,l,1,n,
863,11/19/2006,Muffet McGraw,Western Michigan,2006-2007,30,87,67,h,n,20,w,1,n,
864,11/24/2006,Muffet McGraw,USC,2006-2007,30,58,69,a,n,-11,l,1,n,
865,11/28/2006,Muffet McGraw,Richmond,2006-2007,30,87,66,h,n,21,w,1,n,
866,12/1/2006,Muffet McGraw,Michigan,2006-2007,30,61,58,a,n,3,w,2,n,
867,12/3/2006,Muffet McGraw,Indiana,2006-2007,30,51,54,h,n,-3,l,1,n,
868,12/6/2006,Muffet McGraw,Purdue,2006-2007,30,67,58,h,n,9,w,1,n,
869,12/16/2006,Muffet McGraw,IUPUI,2006-2007,30,75,65,h,n,10,w,2,n,
870,12/19/2006,Muffet McGraw,Valparaiso,2006-2007,30,60,59,a,n,1,w,3,n,
871,12/28/2006,Muffet McGraw,Prairie View,2006-2007,30,94,55,h,n,39,w,4,n,
872,12/30/2006,Muffet McGraw,Tennessee,2006-2007,30,54,78,a,n,-24,l,1,n,
873,1/2/2007,Muffet McGraw,Seton Hall,2006-2007,30,64,61,a,n,3,w,1,n,
874,1/10/2007,Muffet McGraw,Cincinnati,2006-2007,30,81,70,h,n,11,w,2,n,
875,1/13/2007,Muffet McGraw,South Florida,2006-2007,30,78,87,a,n,-9,l,1,n,
876,1/16/2007,Muffet McGraw,St. John's,2006-2007,30,83,65,h,n,18,w,1,n,
877,1/20/2007,Muffet McGraw,Syracuse,2006-2007,30,83,55,h,n,28,w,2,n,
878,1/23/2007,Muffet McGraw,Marquette,2006-2007,30,62,71,a,n,-9,l,1,n,
879,1/27/2007,Muffet McGraw,UConn,2006-2007,30,47,64,a,n,-17,l,2,n,
880,1/31/2007,Muffet McGraw,Pittsburgh,2006-2007,30,62,71,a,n,-9,l,3,n,
881,2/4/2007,Muffet McGraw,West Virginia,2006-2007,30,77,67,h,n,10,w,1,n,
882,2/7/2007,Muffet McGraw,Louisville,2006-2007,30,64,55,h,n,9,w,2,n,
883,2/11/2007,Muffet McGraw,DePaul,2006-2007,30,78,70,h,n,8,w,3,n,
884,2/13/2007,Muffet McGraw,Villanova,2006-2007,30,75,58,a,n,17,w,4,n,
885,2/17/2007,Muffet McGraw,Providence,2006-2007,30,82,65,a,n,17,w,5,n,
886,2/21/2007,Muffet McGraw,Georgetown,2006-2007,30,73,48,h,n,25,w,6,n,
887,2/24/2007,Muffet McGraw,Rutgers,2006-2007,30,60,76,h,n,-16,l,1,n,
888,2/26/2007,Muffet McGraw,DePaul,2006-2007,30,73,87,a,n,-14,l,2,n,
889,3/3/2007,Muffet McGraw,DePaul,2006-2007,30,71,76,n,n,-5,l,3,y,Big East 1st Round
890,3/18/2007,Muffet McGraw,Califoria,2006-2007,30,62,59,n,n,3,w,1,y,NCAA 1st Round
891,3/20/2007,Muffet McGraw,North Carolina,2006-2007,30,51,60,n,n,-9,l,1,y,NCAA 2nd Round
892,11/9/2007,Muffet McGraw,Miami (OH),2007-2008,31,98,50,n,n,48,w,1,n,Preseason NIT
893,11/13/2007,Muffet McGraw,Western Kentucky,2007-2008,31,78,59,n,n,19,w,2,n,Preseason NIT
894,11/16/2007,Muffet McGraw,Maryland,2007-2008,31,59,75,n,n,-16,l,1,n,Preseason NIT
895,11/20/2007,Muffet McGraw,Central Michigan,2007-2008,31,94,41,a,n,53,w,1,n,
896,11/24/2007,Muffet McGraw,Boston College,2007-2008,31,88,58,h,n,30,w,2,n,
897,11/27/2007,Muffet McGraw,Canisius,2007-2008,31,93,47,h,n,46,w,3,n,
898,12/2/2007,Muffet McGraw,Michigan,2007-2008,31,77,46,h,n,31,w,4,n,
899,12/5/2007,Muffet McGraw,Bowling Green,2007-2008,31,86,84,a,y,2,w,5,n,
900,12/8/2007,Muffet McGraw,Purdue,2007-2008,31,61,48,a,n,13,w,6,n,
901,12/12/2007,Muffet McGraw,Valparaiso,2007-2008,31,94,56,h,n,38,w,7,n,
902,12/21/2007,Muffet McGraw,IUPUI,2007-2008,31,67,44,a,n,23,w,8,n,
903,12/29/2007,Muffet McGraw,Saint Francis (PA),2007-2008,31,82,39,h,n,43,w,9,n,
904,1/2/2008,Muffet McGraw,Richmond,2007-2008,31,84,59,a,n,25,w,10,n,
905,1/5/2008,Muffet McGraw,Tennessee,2007-2008,31,63,87,h,n,-24,l,1,n,
906,1/8/2008,Muffet McGraw,Louisville,2007-2008,31,82,74,a,n,8,w,1,n,
907,1/13/2008,Muffet McGraw,West Virginia,2007-2008,31,50,56,a,n,-6,l,1,n,
908,1/16/2008,Muffet McGraw,Villanova,2007-2008,31,69,58,h,n,11,w,1,n,
909,1/19/2008,Muffet McGraw,Georgetown,2007-2008,31,104,86,a,n,18,w,2,n,
910,1/22/2008,Muffet McGraw,DePaul,2007-2008,31,80,81,h,n,-1,l,1,n,
911,1/27/2008,Muffet McGraw,UConn,2007-2008,31,64,81,h,n,-17,l,2,n,
912,1/30/2008,Muffet McGraw,Providence,2007-2008,31,85,54,h,n,31,w,1,n,
913,2/2/2008,Muffet McGraw,Cincinnati,2007-2008,31,73,41,a,n,32,w,2,n,
914,2/10/2008,Muffet McGraw,Pittsburgh,2007-2008,31,81,66,h,n,15,w,3,n,
915,2/13/2008,Muffet McGraw,Marquette,2007-2008,31,99,76,h,n,23,w,4,n,
916,2/16/2008,Muffet McGraw,Syracuse,2007-2008,31,79,67,a,n,12,w,5,n,
917,2/19/2008,Muffet McGraw,Rutgers,2007-2008,31,51,57,a,n,-6,l,1,n,
918,2/24/2008,Muffet McGraw,DePaul,2007-2008,31,66,64,a,n,2,w,1,n,
919,2/27/2008,Muffet McGraw,South Florida,2007-2008,31,92,49,h,n,43,w,2,n,
920,3/1/2008,Muffet McGraw,Seton Hall,2007-2008,31,70,55,h,n,15,w,3,n,
921,3/3/2008,Muffet McGraw,Saint John's (NY),2007-2008,31,51,61,a,n,-10,l,1,n,
922,3/9/2008,Muffet McGraw,Pittsburgh,2007-2008,31,53,64,n,n,-11,l,2,y,Big East First Round
923,3/23/2008,Muffet McGraw,SMU,2007-2008,31,75,62,n,n,13,w,1,y,NCAA 1st Round
924,3/25/2008,Muffet McGraw,Oklahoma,2007-2008,31,79,75,n,y,4,w,2,y,NCAA 2nd Round
925,3/30/2008,Muffet McGraw,Tennessee,2007-2008,31,64,74,n,n,-10,l,1,y,NCAA Regional Semifinal
926,11/16/2008,Muffet McGraw,LSU,2008-2009,32,62,53,a,n,9,w,1,n,
927,11/19/2008,Muffet McGraw,Evansville,2008-2009,32,96,61,h,n,35,w,2,n,
928,11/23/2008,Muffet McGraw,Boston College,2008-2009,32,102,54,a,n,48,w,3,n,
929,11/25/2008,Muffet McGraw,Georgia Southern,2008-2009,32,85,36,h,n,49,w,4,n,
930,11/29/2008,Muffet McGraw,Michigan State,2008-2009,32,78,72,h,n,6,w,5,n,
931,12/2/2008,Muffet McGraw,Eastern Michigan,2008-2009,32,83,63,a,n,20,w,6,n,
932,12/7/2008,Muffet McGraw,Purdue,2008-2009,32,62,51,h,n,11,w,7,n,
933,12/10/2008,Muffet McGraw,Michigan,2008-2009,32,59,63,a,n,-4,l,1,n,
934,12/13/2008,Muffet McGraw,Valparaiso,2008-2009,32,63,55,a,n,8,w,1,n,
935,12/20/2008,Muffet McGraw,Loyola-Chicago,2008-2009,32,89,45,h,n,44,w,2,n,
936,12/28/2008,Muffet McGraw,Charlotte,2008-2009,32,68,61,a,n,7,w,3,n,
937,12/30/2008,Muffet McGraw,Vanderbilt,2008-2009,32,59,57,a,n,2,w,4,n,
938,1/3/2009,Muffet McGraw,Seton Hall,2008-2009,32,66,60,a,n,6,w,5,n,
939,1/6/2009,Muffet McGraw,DePaul,2008-2009,32,86,62,a,n,24,w,6,n,
940,1/10/2009,Muffet McGraw,Georgetown,2008-2009,32,84,63,h,n,21,w,7,n,
941,1/13/2009,Muffet McGraw,Marquette,2008-2009,32,65,75,a,n,-10,l,1,n,
942,1/17/2009,Muffet McGraw,St. John's,2008-2009,32,70,67,h,n,3,w,1,n,
943,1/24/2009,Muffet McGraw,Villanova,2008-2009,32,48,55,a,n,-7,l,1,n,
944,1/27/2009,Muffet McGraw,Rutgers,2008-2009,32,68,78,h,n,-10,l,2,n,
945,1/31/2009,Muffet McGraw,Cincinnati,2008-2009,32,66,50,h,n,16,w,1,n,
946,2/3/2009,Muffet McGraw,Pittsburgh,2008-2009,32,70,82,a,n,-12,l,1,n,
947,2/8/2009,Muffet McGraw,DePaul,2008-2009,32,62,59,h,n,3,w,1,n,
948,2/11/2009,Muffet McGraw,Lousiville,2008-2009,32,66,71,h,n,-5,l,1,n,
949,2/17/2009,Muffet McGraw,South Florida,2008-2009,32,86,79,a,n,7,w,1,n,
950,2/22/2009,Muffet McGraw,Connecticut,2008-2009,32,66,76,a,n,-10,l,1,n,
951,2/24/2009,Muffet McGraw,Syracuse,2008-2009,32,90,79,h,n,11,w,1,n,
952,2/28/2009,Muffet McGraw,Providence,2008-2009,32,65,56,a,n,9,w,2,n,
953,3/2/2009,Muffet McGraw,West Virginia,2008-2009,32,72,66,h,n,6,w,3,n,
954,3/7/2009,Muffet McGraw,St. John's,2008-2009,32,62,45,n,n,17,w,4,y,Big East 2nd Round
955,3/8/2009,Muffet McGraw,Villanova,2008-2009,32,47,58,n,n,-11,l,1,y,Big East Quarterfinals
956,3/22/2009,Muffet McGraw,Minnesota,2008-2009,32,71,79,h,n,-8,l,2,y,NCAA 1st Round
957,11/15/2009,Muffet McGraw,Ark.-Pine Bluff,2009-2010,33,102,57,h,n,45,w,1,n,
958,11/19/2009,Muffet McGraw,Michigan State,2009-2010,33,68,67,a,n,1,w,2,n,
959,11/22/2009,Muffet McGraw,Iona,2009-2010,33,80,45,h,n,35,w,3,n,
960,11/26/2009,Muffet McGraw,San Diego State,2009-2010,33,84,79,n,n,5,w,4,n,Paradise Jam
961,11/27/2009,Muffet McGraw,South Carolina,2009-2010,33,78,55,n,n,23,w,5,n,Paradise Jam
962,11/28/2009,Muffet McGraw,Oklahoma,2009-2010,33,81,71,n,n,10,w,6,n,Paradise Jam
963,12/2/2009,Muffet McGraw,Eastern Michigan,2009-2010,33,69,59,h,n,10,w,7,n,
964,12/8/2009,Muffet McGraw,Fort Wayne,2009-2010,33,96,60,h,n,36,w,8,n,
965,12/12/2009,Muffet McGraw,Valparaiso,2009-2010,33,88,47,h,n,41,w,9,n,
966,12/20/2009,Muffet McGraw,Charlotte,2009-2010,33,90,31,h,n,59,w,10,n,
967,12/29/2009,Muffet McGraw,UCF,2009-2010,33,85,52,a,n,33,w,11,n,
968,12/31/2009,Muffet McGraw,Vanderbilt,2009-2010,33,74,69,h,n,5,w,12,n,
969,1/4/2010,Muffet McGraw,Purdue,2009-2010,33,79,75,a,n,4,w,13,n,
970,1/9/2010,Muffet McGraw,Villanova,2009-2010,33,81,46,h,n,35,w,14,n,
971,1/12/2010,Muffet McGraw,South Florida,2009-2010,33,81,64,h,n,17,w,15,n,
972,1/16/2010,Muffet McGraw,UConn,2009-2010,33,46,70,a,n,-24,l,1,n,
973,1/19/2010,Muffet McGraw,Louisville,2009-2010,33,78,60,a,n,18,w,1,n,
974,1/24/2010,Muffet McGraw,West Virginia,2009-2010,33,74,66,h,n,8,w,2,n,
975,1/27/2010,Muffet McGraw,Providence,2009-2010,33,84,59,h,n,25,w,3,n,
976,1/30/2010,Muffet McGraw,Syracuse,2009-2010,33,74,73,a,n,1,w,4,n,
977,2/1/2010,Muffet McGraw,Rutgers,2009-2010,33,75,63,a,n,12,w,5,n,
978,2/6/2010,Muffet McGraw,Pittsburgh,2009-2010,33,86,76,h,n,10,w,6,n,
979,2/9/2010,Muffet McGraw,Cincinnati,2009-2010,33,66,50,a,n,16,w,7,n,
980,2/14/2010,Muffet McGraw,DePaul,2009-2010,33,90,66,h,n,24,w,8,n,
981,2/16/2010,Muffet McGraw,St. John's (NY),2009-2010,33,71,76,a,n,-5,l,1,n,
982,2/20/2010,Muffet McGraw,Georgetown,2009-2010,33,66,76,a,n,-10,l,2,n,
983,2/23/2010,Muffet McGraw,Marquette,2009-2010,33,82,67,h,n,15,w,1,n,
984,2/27/2010,Muffet McGraw,Seton Hall,2009-2010,33,72,47,a,n,25,w,2,n,
985,3/1/2010,Muffet McGraw,UConn,2009-2010,33,51,76,h,n,-25,l,1,n,
986,3/6/2010,Muffet McGraw,Louisville,2009-2010,33,89,52,n,n,37,w,1,y,Big East Quarterfinals
987,3/7/2010,Muffet McGraw,St. John's (NY),2009-2010,33,75,67,n,n,8,w,2,y,Big East Semifinals
988,3/8/2010,Muffet McGraw,UConn,2009-2010,33,44,59,n,n,-15,l,1,y,Big East Finals
989,3/21/2010,Muffet McGraw,Cleveland State,2009-2010,33,86,58,n,n,28,w,1,y,NCAA 1st Round
990,3/23/2010,Muffet McGraw,Vermont,2009-2010,33,84,66,n,n,18,w,2,y,NCAA 2nd Round
991,3/28/2010,Muffet McGraw,Oklahoma,2009-2010,33,72,77,n,n,-5,l,1,y,NCAA Reginal Semifinals
992,11/12/2010,Muffet McGraw,New Hampshire,2010-2011,34,99,48,h,n,51,w,1,n,
993,11/15/2010,Muffet McGraw,Morehead State,2010-2011,34,91,28,h,n,63,w,2,n,
994,11/18/2010,Muffet McGraw,UCLA,2010-2011,34,83,86,h,n,-3,l,1,n,
995,11/21/2010,Muffet McGraw,Kentucky,2010-2011,34,76,81,a,n,-5,l,2,n,
996,11/26/2010,Muffet McGraw,IUPUI,2010-2011,34,95,29,n,n,66,w,1,n,WBCA Classic
997,11/27/2010,Muffet McGraw,Wake Forest,2010-2011,34,92,69,n,n,23,w,2,n,WBCA Classic
998,11/28/2010,Muffet McGraw,Butler,2010-2011,34,85,54,n,n,31,w,3,n,WBCA Classic
999,12/1/2010,Muffet McGraw,Baylor,2010-2011,34,65,76,a,n,-11,l,1,n,
1000,12/5/2010,Muffet McGraw,Purdue,2010-2011,34,72,51,h,n,21,w,1,n,
1001,12/8/2010,Muffet McGraw,Providence,2010-2011,34,79,43,a,n,36,w,2,n,
1002,12/11/2010,Muffet McGraw,Creighton,2010-2011,34,91,54,h,n,37,w,3,n,
1003,12/20/2010,Muffet McGraw,Valparaiso,2010-2011,34,94,43,a,n,51,w,4,n,
1004,12/29/2010,Muffet McGraw,Gonzaga,2010-2011,34,70,61,n,n,9,w,5,n,Seattle U Holiday Calssic
1005,12/30/2010,Muffet McGraw,Loyola Marymount,2010-2011,34,91,47,n,n,44,w,6,n,Seattle U Holiday Calssic
1006,1/2/2011,Muffet McGraw,Southeast Missouri State,2010-2011,34,97,21,h,n,76,w,7,n,
1007,1/5/2011,Muffet McGraw,Marquette,2010-2011,34,73,55,a,n,18,w,8,n,
1008,1/8/2011,Muffet McGraw,UConn,2010-2011,34,76,79,h,n,-3,l,1,n,
1009,1/12/2011,Muffet McGraw,Louisville,2010-2011,34,80,60,h,n,20,w,1,n,
1010,1/15/2011,Muffet McGraw,Pittsburgh,2010-2011,34,82,50,a,n,32,w,2,n,
1011,1/18/2011,Muffet McGraw,Georgetown,2010-2011,34,80,58,h,n,22,w,3,n,
1012,1/23/2011,Muffet McGraw,Saint John's (NY),2010-2011,34,69,36,h,n,33,w,4,n,
1013,1/29/2011,Muffet McGraw,Villanova,2010-2011,34,58,43,a,n,15,w,5,n,
1014,2/1/2011,Muffet McGraw,Syracuse,2010-2011,34,71,48,h,n,23,w,6,n,
1015,2/5/2011,Muffet McGraw,South Florida,2010-2011,34,76,68,a,n,8,w,7,n,
1016,2/8/2011,Muffet McGraw,Seton Hall,2010-2011,34,89,38,h,n,51,w,8,n,
1017,2/12/2011,Muffet McGraw,Rutgers,2010-2011,34,71,49,h,n,22,w,9,n,
1018,2/19/2011,Muffet McGraw,UConn,2010-2011,34,57,78,a,n,-21,l,1,n,
1019,2/22/2011,Muffet McGraw,West Virginia,2010-2011,34,72,60,a,n,12,w,1,n,
1020,2/26/2011,Muffet McGraw,Cincinnati,2010-2011,34,66,48,h,n,18,w,2,n,
1021,2/28/2011,Muffet McGraw,DePaul,2010-2011,34,69,70,a,n,-1,l,1,n,
1022,3/6/2011,Muffet McGraw,Louisville,2010-2011,34,63,53,n,n,10,w,1,y,Big East Quarterfinals
1023,3/7/2011,Muffet McGraw,DePaul,2010-2011,34,71,67,n,n,4,w,2,y,Big East Semifinals
1024,3/8/2011,Muffet McGraw,UConn,2010-2011,34,64,73,n,n,-9,l,1,y,Big East Finals
1025,3/19/2011,Muffet McGraw,Utah,2010-2011,34,67,54,n,n,13,w,1,y,NCAA 1st Round
1026,3/21/2011,Muffet McGraw,Temple,2010-2011,34,77,64,n,n,13,w,2,y,NCAA 2nd Round
1027,3/26/2011,Muffet McGraw,Oklahoma,2010-2011,34,78,53,n,n,25,w,3,y,NCAA Regional Semifinals
1028,3/28/2011,Muffet McGraw,Tennessee,2010-2011,34,73,59,n,n,14,w,4,y,NCAA Regional Finals
1029,4/3/2011,Muffet McGraw,UConn,2010-2011,34,72,63,n,n,9,w,5,y,NCAA National Semifinals
1030,4/5/2011,Muffet McGraw,Texas A&M,2010-2011,34,70,76,n,n,-6,l,1,y,NCAA National Championship Game
1031,11/11/2011,Muffet McGraw,Akron,2011-2012,35,81,61,n,n,20,w,1,n,Preseason NIT
1032,11/13/2011,Muffet McGraw,Indiana State,2011-2012,35,99,34,n,n,65,w,2,n,Preseason NIT
1033,11/17/2011,Muffet McGraw,Hartford,2011-2012,35,98,43,n,n,55,w,3,n,Preseason NIT
1034,11/20/2011,Muffet McGraw,Baylor,2011-2012,35,81,94,n,n,-13,l,1,n,Preseason NIT
1035,11/25/2011,Muffet McGraw,Southern California,2011-2012,35,80,58,n,n,22,w,1,n,Junkanoo Jam
1036,11/26/2011,Muffet McGraw,Duke,2011-2012,35,56,54,n,n,2,w,2,n,Junkanoo Jam
1037,12/2/2011,Muffet McGraw,Penn,2011-2012,35,69,38,h,n,31,w,3,n,
1038,12/4/2011,Muffet McGraw,Creighton,2011-2012,35,76,48,a,n,28,w,4,n,
1039,12/7/2011,Muffet McGraw,Marquette,2011-2012,35,95,42,h,n,53,w,5,n,
1040,12/10/2011,Muffet McGraw,Purdue,2011-2012,35,66,38,a,n,28,w,6,n,
1041,12/18/2011,Muffet McGraw,Kentucky,2011-2012,35,92,83,h,n,9,w,7,n,
1042,12/20/2011,Muffet McGraw,UCF,2011-2012,35,90,38,h,n,52,w,8,n,
1043,12/28/2011,Muffet McGraw,Longwood,2011-2012,35,92,26,h,n,66,w,9,n,
1044,12/30/2011,Muffet McGraw,Mercer,2011-2012,35,128,42,a,n,86,w,10,n,
1045,1/4/2012,Muffet McGraw,Seton Hall,2011-2012,35,74,36,a,n,38,w,11,n,
1046,1/7/2012,Muffet McGraw,UConn,2011-2012,35,74,67,h,n,7,w,12,n,
1047,1/10/2012,Muffet McGraw,Georgetown,2011-2012,35,80,60,a,n,20,w,13,n,
1048,1/14/2012,Muffet McGraw,Cincinnati,2011-2012,35,76,50,a,n,26,w,14,n,
1049,1/17/2012,Muffet McGraw,Pittsburgh,2011-2012,35,120,44,h,n,76,w,15,n,
1050,1/21/2012,Muffet McGraw,Villanova,2011-2012,35,76,43,h,n,33,w,16,n,
1051,1/23/2012,Muffet McGraw,Tennessee,2011-2012,35,72,44,h,n,28,w,17,n,
1052,1/28/2012,Muffet McGraw,Saint John's (NY),2011-2012,35,71,56,a,n,15,w,18,n,
1053,1/31/2012,Muffet McGraw,Rutgers,2011-2012,35,71,41,a,n,30,w,19,n,
1054,2/5/2012,Muffet McGraw,DePaul,2011-2012,35,90,70,h,n,20,w,20,n,
1055,2/7/2012,Muffet McGraw,Syracuse,2011-2012,35,74,55,a,n,19,w,21,n,
1056,2/12/2012,Muffet McGraw,West Virginia,2011-2012,35,63,65,h,n,-2,l,1,n,
1057,2/14/2012,Muffet McGraw,Providence,2011-2012,35,66,47,h,n,19,w,1,n,
1058,2/20/2012,Muffet McGraw,Louisville,2011-2012,35,68,52,a,n,16,w,2,n,
1059,2/25/2012,Muffet McGraw,South Florida,2011-2012,35,80,68,h,n,12,w,3,n,
1060,2/27/2012,Muffet McGraw,UConn,2011-2012,35,72,59,a,n,13,w,4,n,
1061,3/4/2012,Muffet McGraw,DePaul,2011-2012,35,69,54,n,n,15,w,5,y,Big East Quarterfinals
1062,3/5/2012,Muffet McGraw,West Virginia,2011-2012,35,73,45,n,n,28,w,6,y,Big East Semifinals
1063,3/6/2012,Muffet McGraw,UConn,2011-2012,35,54,63,n,n,-9,l,1,y,Big East Finals
1064,3/18/2012,Muffet McGraw,Liberty,2011-2012,35,74,43,n,n,31,w,1,y,NCAA 1st Round
1065,3/20/2012,Muffet McGraw,California,2011-2012,35,73,62,n,n,11,w,2,y,NCAA 2nd Round
1066,3/25/2012,Muffet McGraw,Saint Bonaventure,2011-2012,35,79,35,n,n,44,w,3,y,NCAA Regional Semifinals
1067,3/27/2012,Muffet McGraw,Maryland,2011-2012,35,80,49,n,n,31,w,4,y,NCAA Regional Finals
1068,4/1/2012,Muffet McGraw,UConn,2011-2012,35,83,75,n,n,8,w,5,y,NCAA National Semifinals
1069,4/3/2012,Muffet McGraw,Baylor,2011-2012,35,61,80,n,n,-19,l,1,y,NCAA National Championship Game
1070,11/9/2012,Muffet McGraw,Ohio State,2012-2013,36,57,51,n,n,6,w,1,n,Carrier Classic
1071,11/18/2012,Muffet McGraw,Massachusetts,2012-2013,36,94,50,h,n,44,w,2,n,
1072,11/20/2012,Muffet McGraw,Mercer,2012-2013,36,93,36,h,n,57,w,3,n,
1073,11/23/2012,Muffet McGraw,UCLA,2012-2013,36,76,64,a,n,12,w,4,n,
1074,11/29/2012,Muffet McGraw,Central Michigan,2012-2013,36,72,63,a,n,9,w,5,n,
1075,12/5/2012,Muffet McGraw,Baylor,2012-2013,36,61,73,h,n,-12,l,1,n,
1076,12/8/2012,Muffet McGraw,Utah State,2012-2013,36,109,70,h,n,39,w,1,n,
1077,12/19/2012,Muffet McGraw,Alabama A&M,2012-2013,36,100,39,n,n,61,w,2,n,World Vision Classic
1078,12/20/2012,Muffet McGraw,Kansas State,2012-2013,36,87,57,n,n,30,w,3,n,World Vision Classic
1079,12/21/2012,Muffet McGraw,Texas A&M,2012-2013,36,83,74,n,n,9,w,4,n,World Vision Classic
1080,12/29/2012,Muffet McGraw,Purdue,2012-2013,36,74,47,h,n,27,w,5,n,
1081,12/31/2012,Muffet McGraw,Saint Francis (PA),2012-2013,36,128,55,h,n,73,w,6,n,
